"Rang";"Geschlecht";"Vorname";"Anzahl";"Anteil in %"
" 1";"männlich";"Michael";"1.931";"1,85"
" 2";"männlich";"Johann";"1.893";"1,82"
" 3";"männlich";"Markus";"1.785";"1,71"
" 4";"männlich";"Christian";"1.776";"1,70"
" 5";"männlich";"Thomas";"1.610";"1,54"
" 6";"männlich";"Peter";"1.591";"1,53"
" 7";"männlich";"Andreas";"1.583";"1,52"
" 8";"männlich";"Josef";"1.582";"1,52"
" 9";"männlich";"Mohammad";"1.472";"1,41"
"10";"männlich";"Alexander";"1.393";"1,34"
"11";"männlich";"Stefan";"1.374";"1,32"
"12";"männlich";"Franz";"1.249";"1,20"
"13";"männlich";"Daniel";"1.182";"1,13"
"14";"männlich";"Wolfgang";"1.125";"1,08"
"15";"männlich";"Lukas";"1.122";"1,08"
"16";"männlich";"Jürgen";"1.101";"1,06"
"17";"männlich";"Martin";"1.032";"0,99"
"18";"männlich";"Christoph";"  998";"0,96"
"19";"männlich";"Gerhard";"  978";"0,94"
"20";"männlich";"Karl";"  963";"0,92"
" 1";"weiblich";"Maria";"2.897";"2,67"
" 2";"weiblich";"Anna";"2.508";"2,32"
" 3";"weiblich";"Christine";"1.997";"1,84"
" 4";"weiblich";"Brigitte";"1.554";"1,43"
" 5";"weiblich";"Elisabeth";"1.319";"1,22"
" 6";"weiblich";"Katharina";"1.276";"1,18"
" 7";"weiblich";"Andrea";"1.036";"0,96"
" 8";"weiblich";"Elena";"1.014";"0,94"
" 9";"weiblich";"Monika";"1.010";"0,93"
"10";"weiblich";"Gertrude";"  987";"0,91"
"11";"weiblich";"Sarah";"  973";"0,90"
"12";"weiblich";"Eva";"  958";"0,88"
"13";"weiblich";"Sabine";"  954";"0,88"
"14";"weiblich";"Helga";"  945";"0,87"
"15";"weiblich";"Renate";"  936";"0,86"
"16";"weiblich";"Karin";"  921";"0,85"
"17";"weiblich";"Julia";"  910";"0,84"
"18";"weiblich";"Claudia";"  893";"0,82"
"19";"weiblich";"Michaela";"  858";"0,79"
"20";"weiblich";"Johanna";"  839";"0,77"
